Code	 Mean_FD_Power	 Max_FD_Power	 Mean_FD_Jenkinson	 Max_FD_Jenkinson	 Num_above_0,2_Power	 Num_above_0,5_Power	 Num_above_0,2_Jenkinson	 Num_above_0,5_Jenkinson	 Mean_Relative_Displacement	 Max_Relative_Displacement	 Point_above_0,1mm	 Mean_Relative_Rotation	 Mean_Relative_MaxDisp	 Max_Relative_MaxDisp	 Max_Abs_MaxDisp	 Max_Relative_Roll	 Max_Relative_Pitch	 Max_Relative_Yaw	 Max_Relative_dS-I	 Max_Relative_dL-R	 Max_Relative_dP-A	Mean_Relative_Roll	 Mean_Relative_Pitch	 Mean_Relative_Yaw	 Mean_Relative_dS-I	 Mean_Relative_dL-R	 Mean_Relative_dP-A	 Max_Abs_Roll	 Max_Abs_Pitch	 Max_Abs_Yaw	 Max_Abs_dS-I	 Max_Abs_dL-R	 Max_Abs_dP-A	Mean_Abs_Roll	 Mean_Abs_Pitch	 Mean_Abs_Yaw	 Mean_Abs_dS-I	 Mean_Abs_dL-R	 Mean_Abs_dP-A
102	0.149	1.091	0.092	0.673	40	5	17	1	0.028	0.204	7	0.019	-0.016	1.09	7.021	0.0704	0.4407	0.2779	0.2222	0.0953	0.2402	-0.000514	0.025434	0.005844	-0.007877	0.002841	-0.003587	0.1704	2.0784	0.5199	1.3895	0.2742	0.5156	0.065664	-0.283558	-0.072098	0.331403	-0.027366	0.073701
103	0.055	0.266	0.03	0.163	2	0	0	0	0.014	0.08	0	0.005	0.002	0.145	0.669	0.0416	0.089	0.0194	0.128	0.0392	0.0566	-0.000342	-0.001321	-0.000499	-0.001824	-0.000702	-0.000215	0.1868	0.1755	0.0747	0.1436	0.0392	0.0733	0.054296	-0.044491	-0.025041	-0.037305	-0.043567	-0.001189
104	0.055	0.174	0.028	0.096	0	0	0	0	0.017	0.079	0	0.004	-0.001	0.111	0.542	0.0243	0.0433	0.0287	0.1014	0.0285	0.0361	-0.000706	-0.000636	0.000317	-0.000627	-0.000382	-0.000005	0.1213	0.159	0.0252	0.1531	0.0717	0.0431	0.013242	0.038752	-0.02807	-0.064078	0.000785	-0.009638
105	0.07	0.227	0.038	0.169	5	0	0	0	0.018	0.122	1	0.006	-0.002	0.216	1.627	0.0567	0.1036	0.0954	0.1287	0.0332	0.0424	-0.001259	0.001321	-0.002498	0.004648	-0.000351	0.001127	0.1465	0.2195	0.2854	0.405	0.0603	0.1028	-0.035132	-0.088955	-0.0495	-0.020109	-0.029575	-0.059545
106	0.163	0.958	0.085	0.509	47	11	17	1	0.026	0.243	11	0.02	-0.011	0.587	2.907	0.2574	0.5609	0.1707	0.1931	0.1371	0.1856	-0.001298	0.009437	0.001301	-0.002541	0.000627	-0.004186	0.3426	0.8046	0.0235	0.3717	0.0794	0.6186	0.041753	-0.078553	-0.142826	-0.098618	-0.049635	-0.034573
107	0.055	0.17	0.029	0.109	0	0	0	0	0.011	0.051	0	0.005	0.001	0.133	0.911	0.041	0.0872	0.0285	0.0695	0.0237	0.0819	0.001193	0.003627	-0.000699	-0.00078	0.000164	-0.001359	0.0542	0.4089	0.0793	0.1274	0.0327	0.1193	-0.055423	0.011024	-0.000036	-0.021704	-0.020513	0.007685
108	0.135	0.496	0.066	0.245	35	0	2	0	0.037	0.218	9	0.015	-0.001	0.471	1.017	0.0722	0.1528	0.0873	0.2184	0.1178	0.0885	0.000872	-0.002911	0.000697	0.002777	0.000892	-0.000065	0.0885	0.3362	0.0911	0.253	0.133	0.0667	-0.016121	-0.003022	0.004723	-0.057415	-0.008874	0.001169
109	0.083	0.497	0.044	0.243	8	0	2	0	0.021	0.131	1	0.009	-0.005	0.471	1.643	0.0517	0.2425	0.0453	0.1759	0.0347	0.1581	0.000238	0.004333	0.001792	-0.003227	-0.000657	-0.002015	0.1172	0.241	0.0197	0.4056	0.0952	0.3146	0.02974	-0.085266	-0.080304	0.046626	0.012571	0.014153
111	1.038	13.899	0.529	7.137	154	100	108	60	0.297	4.22	103	0.098	-0.004	10.76	14.213	1.1933	6.9632	1.2211	6.175	1.2098	0.5808	-0.00354	-0.007292	0.00022	-0.003077	-0.00214	-0.001103	1.3328	5.8523	1.3848	4.4026	0.7751	0.5496	0.174066	0.911767	-0.03853	-1.136009	0.004693	0.018529
112	0.921	7.651	0.452	3.63	161	108	124	62	0.23	1.601	106	0.11	0.005	3.666	12.963	0.7658	3.3236	1.8037	1.7452	0.7497	1.1012	-0.000725	-0.023007	0.00187	0.042176	0.002163	0.008021	0.6288	2.4554	2.2438	6.681	1.1312	1.8744	0.164057	-0.163565	0.620162	0.537629	0.269383	0.313288
113	0.104	0.352	0.056	0.262	20	0	2	0	0.028	0.11	4	0.009	0	0.265	0.84	0.1426	0.2124	0.0785	0.1826	0.1209	0.1353	-0.000331	-0.000738	-0.000454	-0.001743	0.000046	-0.000418	0.0597	0.1651	0.0323	0.4671	0.0696	0.2003	-0.032314	-0.038182	-0.064305	0.07756	0.002221	0.023403
114	0.064	0.707	0.036	0.442	5	1	2	0	0.018	0.472	3	0.005	-0.001	0.591	0.599	0.0445	0.07	0.0296	0.4727	0.037	0.1264	-0.000719	-0.000978	0.00019	0.000223	-0.000348	-0.000431	0.224	0.0854	0.1298	0.467	0.1287	0.1118	0.062123	-0.049759	0.034636	0.017855	0.035466	-0.024262
115	0.187	2.503	0.111	1.575	43	12	16	5	0.062	1.547	25	0.018	-0.004	1.547	2.833	0.1171	0.7205	0.3684	1.4039	0.2289	0.6604	0.00048	0.005884	0.002234	-0.002135	-0.000175	-0.000909	0.3589	0.514	0.474	1.6993	0.2916	0.7875	0.119115	-0.555723	0.059749	0.055035	0.000418	-0.050138
116	0.056	0.173	0.034	0.144	0	0	0	0	0.011	0.044	0	0.008	-0.009	0.168	2.612	0.0332	0.1159	0.0329	0.0605	0.0242	0.0381	-0.002866	0.008942	-0.001879	-0.001357	-0.001195	-0.003136	0.384	0.4738	0.2471	0.3361	0.1493	0.3921	0.035548	-0.118776	0.0209	0.055392	0.01065	0.03086
117	0.126	3.205	0.073	2.236	16	5	9	5	0.03	0.578	8	0.017	0.007	3.206	3.547	0.1516	1.8376	0.456	1.0098	0.1108	0.959	0.001395	0.009063	0.001141	0.000368	0.000228	0.000904	0.3118	1.9756	0.4946	0.7807	0.1502	0.6074	0.002458	0.015482	0.032746	0.08671	0.014617	-0.000755
203	0.271	0.728	0.164	0.47	122	20	58	0	0.102	0.315	99	0.017	-0.006	0.396	1.749	0.1011	0.1815	0.1281	0.3385	0.1013	0.2957	0.00086	0.003151	0.000186	-0.002825	0.00199	0.00009	0.1512	0.2387	0.0331	0.7667	0.1685	0.1205	-0.065113	-0.128244	-0.041219	0.241535	-0.020205	-0.081896
204	0.245	1.174	0.127	0.641	78	25	34	3	0.061	0.468	36	0.02	-0.003	0.734	2.079	0.3212	0.3771	0.221	0.5045	0.3265	0.2477	-0.000045	-0.001447	0.003366	-0.000071	0.002359	-0.000406	0.1122	0.5399	0.5308	0.6615	0.3723	0.1253	-0.297569	0.119407	-0.085454	-0.085437	-0.26059	-0.009755
205	0.217	0.624	0.144	0.376	107	2	52	0	0.079	0.309	63	0.013	-0.001	0.227	0.814	0.0571	0.1038	0.0642	0.1392	0.0682	0.3397	0.001257	0.000029	0.00274	0.000627	0.002129	-0.002982	0.0554	0.0894	0.3653	0.147	0.2004	0.307	-0.079448	-0.026361	0.023471	0.01665	-0.006914	-0.071089
206	0.068	0.231	0.033	0.107	2	0	0	0	0.015	0.106	1	0.007	-0.001	0.17	1.302	0.0457	0.0748	0.0312	0.1021	0.0519	0.0843	0.002089	0.005076	0.002118	-0.001448	0.001654	-0.001917	0.1295	0.4686	0.1811	0.1374	0.1709	0.2634	-0.043931	0.013032	-0.013772	-0.078854	0.005534	0.015271
207	0.153	0.639	0.088	0.373	35	1	3	0	0.032	0.149	3	0.01	-0.002	0.23	0.592	0.0575	0.0874	0.0778	0.3482	0.0803	0.1843	-0.001259	-0.000324	-0.000074	-0.000376	-0.001859	-0.000347	0.1892	0.0714	0.057	0.2695	0.284	0.1708	0.02893	-0.01769	0.002438	-0.013039	0.047199	0.040265
210	0.166	0.568	0.096	0.457	52	2	7	0	0.031	0.165	4	0.019	-0.007	0.697	4.36	0.0676	0.4208	0.0698	0.1132	0.0568	0.2739	-0.003002	0.020058	-0.003484	-0.003378	-0.003819	-0.005516	0.4877	1.7268	0.3112	0.4718	0.367	0.6414	0.076093	0.13033	-0.011151	0.024312	0.017793	-0.051086
211	0.271	0.814	0.152	0.47	131	12	45	0	0.062	0.241	38	0.021	-0.006	0.584	2.014	0.0973	0.3304	0.0825	0.3171	0.1289	0.436	-0.001514	-0.001986	0.000062	0.004126	-0.001661	0.000439	0.4923	0.7322	0.1218	0.3723	0.4286	0.2713	0.15452	0.203933	0.018109	-0.066541	0.095523	0.044881
212	0.056	0.19	0.03	0.128	0	0	0	0	0.015	0.115	1	0.006	-0.004	0.127	1.966	0.0238	0.0859	0.0248	0.1292	0.0228	0.0435	-0.001234	0.00829	0.000248	0.002058	-0.001458	-0.003229	0.1116	0.6807	0.0119	0.263	0.1329	0.3672	-0.041935	0.025126	-0.027625	0.000629	-0.014857	-0.014031
213	0.254	1.013	0.136	0.628	123	7	36	1	0.057	0.243	31	0.022	0.002	0.429	2.915	0.0867	0.1798	0.0817	0.2143	0.1014	0.5929	-0.002011	0.010947	-0.001265	-0.009119	0.000264	-0.003653	0.3519	1.31	0.2802	0.936	0.161	0.6085	0.077404	0.038877	0.082354	0.002264	-0.00833	0.101265
214	0.393	1.008	0.235	0.664	183	49	112	4	0.167	0.629	136	0.023	-0.007	0.697	2.124	0.075	0.2818	0.077	0.5265	0.0812	0.363	-0.002225	0.004559	-0.00026	0.005367	-0.00169	-0.002807	0.2378	0.2975	0.1662	0.0215	0.259	0.4622	0.034214	-0.01017	0.055849	-0.377853	0.05595	0.14748
215	0.091	0.223	0.05	0.138	3	0	0	0	0.033	0.11	4	0.008	0.002	0.15	1.129	0.03	0.0756	0.0364	0.079	0.0266	0.1337	0.000146	0.003993	0.002316	0.001875	-0.000397	-0.002924	0.0295	0.5411	0.2052	0.2588	0.0476	0.3552	-0.048225	0.034907	-0.00905	0.006432	-0.008932	0.022965
216	0.296	0.643	0.161	0.445	161	17	43	0	0.069	0.19	55	0.023	0.002	0.298	2.251	0.0567	0.1825	0.0928	0.4232	0.0677	0.2296	-0.002464	0.010899	0.000506	0.000929	0.000366	-0.004367	0.2691	1.3626	0.2499	0.2779	0.2089	0.5169	0.033502	0.064708	0.069472	0.028474	0.103391	-0.065688
217	0.226	1.016	0.126	0.494	101	7	22	0	0.054	0.3	26	0.018	0.014	0.681	5.371	0.0755	0.2243	0.0621	0.4573	0.0844	0.3828	-0.002512	0.019223	-0.00037	-0.004491	-0.004321	-0.00634	0.6077	2.8362	0.0885	0.3471	0.5747	0.3336	0.162769	0.495691	-0.015512	-0.103962	0.069965	-0.232679
220	0.181	0.985	0.105	0.45	58	12	25	0	0.058	0.343	37	0.016	-0.003	0.618	1.469	0.0678	0.2347	0.0915	0.393	0.0333	0.2916	-0.001648	-0.004255	-0.001194	0.001974	-0.000068	0.000322	0.1747	0.6617	0.0823	0.552	0.0198	0.1717	-0.009459	-0.038442	-0.066042	-0.068189	-0.054295	0.008989
304	0.098	0.438	0.06	0.26	14	0	3	0	0.027	0.14	3	0.01	0.003	0.354	1.574	0.0301	0.112	0.0327	0.1992	0.0223	0.1447	0.000245	0.005053	-0.002183	-0.003466	-0.001506	-0.001681	0.0125	0.6697	0.2259	0.3316	0.1601	0.1904	-0.026134	0.051665	-0.014081	-0.042443	-0.023592	0.002342
305	0.055	0.271	0.03	0.179	3	0	0	0	0.011	0.056	0	0.006	-0.001	0.146	0.487	0.0472	0.113	0.0403	0.0522	0.0536	0.0965	-0.000733	-0.000373	-0.00091	0.000004	-0.000508	-0.000465	0.1526	0.1486	0.1894	0.0755	0.1203	0.0561	0.039339	0.036355	0.048815	-0.039473	0.02711	-0.03607
306	0.099	1.234	0.056	0.826	11	3	3	3	0.035	0.764	8	0.008	-0.005	0.786	1.951	0.0525	0.1476	0.1519	0.7649	0.0471	0.2243	-0.0015	-0.002168	-0.002291	0.000753	-0.001404	-0.000373	0.3089	0.5567	0.3786	0.0696	0.2765	0.0943	0.07569	0.078718	0.036715	-0.221821	0.062633	0.007183
307	0.247	0.599	0.152	0.362	125	3	50	0	0.048	0.241	23	0.024	-0.004	0.365	2.14	0.1091	0.2084	0.0742	0.1938	0.0394	0.2896	0.002724	0.00876	-0.000001	-0.001941	0.001027	-0.001339	0.3289	0.7877	0.0595	0.4405	0.1335	0.2363	0.028641	-0.113208	-0.045132	0.118202	-0.063388	-0.015932
308	0.122	0.747	0.066	0.434	22	1	6	0	0.025	0.229	5	0.011	0.001	0.286	1.84	0.0683	0.1931	0.04	0.2611	0.072	0.3168	-0.003011	0.007679	0.000318	-0.001151	-0.002498	-0.002206	0.5629	0.945	0.2267	0.0431	0.4852	0.2178	0.140476	0.113046	0.082459	-0.184357	0.14008	-0.011108
309	0.186	0.718	0.108	0.394	65	3	14	0	0.057	0.213	34	0.012	-0.006	0.345	1.921	0.1214	0.1755	0.1595	0.2185	0.1286	0.2819	-0.004086	0.001559	0.00322	0.002751	-0.001236	-0.000814	0.7372	0.5156	0.1191	0.1426	0.226	0.1069	0.083809	0.158442	-0.097836	-0.17556	0.009517	-0.014941
310	0.056	0.423	0.032	0.239	8	0	1	0	0.014	0.173	2	0.005	0	0.432	0.874	0.0431	0.1655	0.0307	0.1693	0.025	0.161	-0.000539	-0.000401	0.000037	-0.002502	-0.001017	-0.000326	0.0629	0.3061	0.0539	0.2461	0.0971	0.0609	0.000545	0.054206	-0.007128	-0.016927	-0.005289	-0.018932
311	0.109	0.393	0.07	0.242	15	0	3	0	0.023	0.188	3	0.015	0	0.151	1.641	0.077	0.1235	0.0916	0.1261	0.0337	0.1465	0.00188	0.00889	0.001038	-0.000124	0.000022	-0.002103	0.3649	0.734	0.3255	0.3029	0.0782	0.2614	0.110463	-0.008815	0.080145	0.115544	0.027228	0.007702
312	0.086	0.888	0.042	0.4	10	5	5	0	0.024	0.326	6	0.01	0.001	0.682	1.244	0.1346	0.4025	0.1371	0.2992	0.0564	0.1596	0.00014	0.001034	0.000296	-0.000654	0.000046	-0.001197	0.0372	0.327	0.1125	0.5608	0.0217	0.1908	-0.008322	-0.041936	-0.001788	0.062019	-0.003968	-0.019427
313	0.058	0.201	0.03	0.101	1	0	0	0	0.014	0.069	0	0.007	0	0.124	0.493	0.0463	0.0657	0.0478	0.0872	0.0275	0.0666	0.000107	-0.000342	0.000949	-0.00068	0.000752	-0.000082	0.0576	0.0236	0.0245	0.1736	0.0247	0.0553	-0.020686	-0.081268	-0.037687	-0.000843	-0.019056	0.016561
314	0.154	1.882	0.083	1.149	37	6	12	2	0.048	0.922	11	0.013	0	0.714	1.283	0.1065	0.4377	0.096	1.2699	0.0484	0.2736	0.001006	-0.000638	0.00066	-0.001575	-0.00003	0.00078	0.1354	0.5485	0.1029	1.0922	0.0944	0.2037	-0.021782	0.095734	-0.008402	0.015145	-0.003843	0.045591
315	0.059	0.623	0.034	0.469	5	2	2	0	0.019	0.464	3	0.006	-0.003	0.363	1.532	0.0394	0.1147	0.0639	0.478	0.0244	0.2702	0.002284	0.00326	0.001132	0.005086	0.000429	-0.002047	0.2395	0.2066	0.036	0.5472	0.0532	0.3128	-0.0418	-0.134787	-0.129896	-0.045912	-0.047985	0.057033
316	0.249	0.609	0.146	0.36	132	6	42	0	0.09	0.21	89	0.019	0	0.392	0.557	0.0229	0.1671	0.0756	0.2374	0.041	0.2725	-0.000977	0.001725	-0.001078	0.000027	-0.000722	-0.0011	0.1726	0.2161	0.1771	0.145	0.1271	0.0362	0.020315	-0.02335	0.007157	0.028426	0.011024	-0.08432
317	0.067	0.485	0.034	0.187	3	0	0	0	0.017	0.178	2	0.006	-0.009	0.225	1.998	0.0584	0.053	0.0758	0.1277	0.0849	0.1354	-0.002608	0.001199	-0.000826	-0.003696	-0.003446	-0.002044	0.6259	0.055	0.254	0.6856	0.5924	0.3654	0.113583	-0.065156	0.030104	0.165176	0.058599	0.067765
319	0.063	0.353	0.033	0.231	5	0	1	0	0.014	0.104	1	0.007	-0.005	0.179	2.078	0.0563	0.1035	0.0572	0.2547	0.0419	0.0836	-0.003194	0.006242	-0.000848	-0.003288	-0.002416	-0.002174	0.3779	0.3304	0.1508	0.3671	0.3752	0.2825	0.011524	-0.12503	0.020649	-0.071456	0.055161	0.024478
320	0.098	0.987	0.051	0.471	11	7	7	0	0.027	0.31	7	0.009	-0.006	0.431	1.887	0.1059	0.3266	0.0924	0.4378	0.0932	0.2727	-0.001317	0.001101	0.000459	0.008821	0.000825	0.00072	0.29	0.2982	0.1828	0.4236	0.2727	0.1571	0.054386	-0.013558	0.029965	-0.155969	0.053335	-0.015512
322	0.098	0.403	0.052	0.293	14	0	2	0	0.019	0.105	3	0.013	-0.015	0.181	4.026	0.0769	0.141	0.058	0.0995	0.0518	0.2567	-0.001001	0.016268	0.001302	-0.000979	0.000428	-0.001253	0.0235	0.7075	0.137	0.1216	0.0379	0.2226	-0.146061	-0.353799	-0.117631	-0.022662	-0.026435	0.05753
323	0.098	0.584	0.053	0.264	17	2	5	0	0.028	0.3	8	0.01	0.002	0.324	0.754	0.0643	0.2256	0.062	0.3042	0.0456	0.1657	0.00051	-0.00098	-0.00008	0.001896	0.000952	-0.000308	0.0404	0.24	0.0922	0.6488	0.1149	0.1155	-0.017176	0.047047	0.011571	0.075762	-0.006358	0.002139
324	0.098	0.38	0.052	0.222	12	0	2	0	0.015	0.061	0	0.014	-0.005	0.237	1.374	0.0698	0.1689	0.0504	0.0745	0.0291	0.1134	-0.002849	0.001741	-0.001792	-0.001697	-0.000738	0.000082	0.572	0.0972	0.2229	0.2537	0.2013	0.0337	0.150737	-0.106793	0.03931	0.034553	0.050204	-0.031026
325	0.11	0.335	0.063	0.204	20	0	2	0	0.024	0.091	0	0.01	-0.001	0.264	0.863	0.0425	0.1559	0.044	0.1282	0.0346	0.106	-0.00005	0.001528	-0.001428	0.000886	-0.000641	-0.001474	0.1165	0.3285	0.1566	0.0376	0.0903	0.1071	0.013303	0.001708	-0.016357	-0.094853	-0.002245	-0.011744
326	0.243	3.59	0.136	1.906	43	16	25	11	0.094	2.185	22	0.022	0.004	2.945	6.31	0.224	0.7779	0.3278	2.0839	0.346	0.8776	0.000474	0.00137	-0.003029	-0.006562	-0.002204	-0.00152	0.0882	0.1063	0.2395	2.9355	0.3401	1.022	-0.192132	-0.466146	-0.172482	-0.079151	-0.12334	0.053309
327	0.15	0.66	0.094	0.389	29	2	4	0	0.022	0.116	2	0.013	-0.001	0.236	0.698	0.0491	0.1413	0.0411	0.2205	0.0357	0.3067	-0.000867	0.000342	0.00054	-0.00195	-0.000441	-0.001328	0.1302	0.0195	0.073	0.2646	0.0498	0.2465	0.007224	-0.098526	-0.004675	0.009483	-0.024239	0.024942
328	0.083	0.353	0.044	0.241	14	0	3	0	0.013	0.058	0	0.012	0.002	0.304	0.995	0.0872	0.2162	0.0711	0.0839	0.1113	0.0765	-0.002143	0.000048	-0.000644	-0.001011	-0.001115	0.000184	0.1775	0.4628	0.1072	0.0839	0.1175	0.0038	-0.001759	0.131629	-0.025438	-0.058917	-0.037654	-0.047884
329	0.067	0.259	0.036	0.173	4	0	0	0	0.014	0.055	0	0.006	-0.003	0.197	0.927	0.1237	0.0689	0.0409	0.061	0.0698	0.1001	-0.000806	0.001455	0.000382	-0.00061	-0.000295	-0.000686	0.1403	0.0509	0.0567	0.2294	0.0904	0.2028	0.022122	-0.059213	-0.011171	0.001309	0.007082	0.035037
